                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.4399,                 1.8356,                 1.9856,                0.56701,                0.44383,                0.47736,                0.26735,                 2.8159,                 2.6128,                 2.2648,             0.00027526,             0.00027526,             0.00027526
                     65,                 2.3958,                 1.8245,                 1.9869,                0.60302,                 0.4483,                0.47254,                0.26529,                 2.8397,                 2.6371,                 2.2704,             0.00027328,             0.00027328,             0.00027328
                     66,                 2.4221,                  1.824,                 1.9901,                0.69554,                0.40208,                0.48056,                0.26879,                 2.8613,                 2.5995,                 2.2945,              0.0002713,              0.0002713,              0.0002713
                     67,                 2.4334,                 1.8258,                 1.9875,                0.60044,                0.42899,                0.47871,                0.26723,                 2.8506,                 2.6409,                 2.2736,             0.00026932,             0.00026932,             0.00026932
                     68,                 2.4251,                 1.8154,                 1.9845,                0.58178,                0.43116,                0.47263,                0.26528,                 2.8413,                  2.622,                 2.2723,             0.00026734,             0.00026734,             0.00026734
                     69,                 2.3992,                 1.8157,                 1.9835,                0.57991,                0.43701,                 0.4781,                0.26886,                 2.8182,                 2.6651,                 2.2651,             0.00026536,             0.00026536,             0.00026536
                     70,                  2.433,                 1.8192,                 1.9861,                0.54925,                0.45367,                 0.4467,                0.26501,                 2.8267,                 2.6305,                 2.2758,             0.00026338,             0.00026338,             0.00026338
                     71,                 2.4118,                   1.81,                 1.9854,                 0.5689,                0.45913,                 0.4848,                0.27095,                 2.7963,                 2.5725,                 2.2435,              0.0002614,              0.0002614,              0.0002614
                     72,                 2.4126,                 1.8051,                 1.9881,                0.55277,                0.44984,                0.47098,                0.26875,                 2.8598,                 2.6441,                 2.2857,             0.00025942,             0.00025942,             0.00025942
                     73,                 2.4338,                 1.7838,                 1.9882,                0.55399,                 0.4489,                0.47322,                0.26385,                 2.8624,                 2.6481,                  2.287,             0.00025744,             0.00025744,             0.00025744
                     74,                 2.3753,                 1.7858,                 1.9764,                0.63245,                 0.4346,                0.48217,                0.27677,                 2.7719,                 2.6115,                 2.2449,             0.00025546,             0.00025546,             0.00025546
                     75,                 2.3858,                 1.7664,                 1.9676,                0.57993,                0.45721,                0.44775,                0.26279,                 2.8373,                 2.6071,                 2.2692,             0.00025348,             0.00025348,             0.00025348
                     76,                 2.3785,                 1.7547,                 1.9721,                0.58793,                 0.4441,                0.48177,                0.27224,                 2.8691,                 2.5844,                 2.2788,              0.0002515,              0.0002515,              0.0002515
                     77,                 2.3895,                 1.7658,                 1.9694,                 0.6059,                0.42701,                0.48489,                0.27302,                 2.8286,                 2.6639,                  2.274,             0.00024952,             0.00024952,             0.00024952
                     78,                   2.37,                 1.7502,                 1.9714,                0.58012,                0.45529,                0.48118,                0.27102,                 2.8085,                 2.6115,                 2.2531,             0.00024754,             0.00024754,             0.00024754
                     79,                  2.395,                 1.7513,                 1.9676,                0.51266,                0.46197,                0.48542,                0.26945,                 2.8161,                 2.6276,                 2.2611,             0.00024556,             0.00024556,             0.00024556
                     80,                 2.3763,                  1.744,                 1.9703,                0.61362,                0.43057,                0.53658,                0.29546,                 2.8448,                  2.661,                 2.2782,             0.00024358,             0.00024358,             0.00024358
                     81,                 2.3544,                 1.7242,                 1.9593,                0.49968,                0.48949,                0.44879,                0.26282,                 2.8082,                 2.6383,                 2.2485,              0.0002416,              0.0002416,              0.0002416
                     82,                 2.3599,                 1.7226,                 1.9593,                0.50179,                 0.4287,                0.47743,                0.26944,                 2.8077,                  2.629,                 2.2513,             0.00023962,             0.00023962,             0.00023962
                     83,                 2.3736,                 1.7325,                 1.9652,                0.53982,                0.45818,                0.47299,                 0.2696,                 2.7877,                 2.6718,                 2.2496,             0.00023764,             0.00023764,             0.00023764
                     84,                 2.3449,                 1.7078,                 1.9586,                0.58766,                 0.4286,                0.47722,                0.26731,                 2.8258,                 2.6524,                 2.2774,             0.00023566,             0.00023566,             0.00023566
                     85,                 2.3563,                  1.734,                 1.9584,                0.54251,                0.45279,                0.44241,                0.25837,                 2.8375,                 2.6566,                 2.2597,             0.00023368,             0.00023368,             0.00023368
