                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 2.0294,                 1.2772,                  1.918,                0.65097,                 0.4808,                0.52319,                0.29937,                 2.8222,                 2.6325,                 2.4787,              0.0002218,              0.0002218,              0.0002218
                     92,                 2.0257,                 1.2832,                 1.9232,                0.69193,                0.47852,                0.52572,                0.30415,                 2.7776,                  2.607,                   2.48,             0.00021982,             0.00021982,             0.00021982
                     93,                 1.9989,                 1.2563,                 1.9156,                0.63541,                0.49674,                 0.5297,                0.29752,                  2.794,                 2.5936,                 2.4847,             0.00021784,             0.00021784,             0.00021784
                     94,                 2.0133,                 1.2571,                  1.909,                0.58646,                 0.4919,                0.52181,                0.29315,                 2.8022,                 2.6049,                 2.5055,             0.00021586,             0.00021586,             0.00021586
                     95,                 2.0026,                 1.2559,                 1.9107,                0.54738,                0.50641,                0.51722,                0.29671,                 2.8095,                 2.5837,                 2.4839,             0.00021388,             0.00021388,             0.00021388
                     96,                 1.9895,                  1.244,                 1.9005,                0.72813,                0.46905,                0.51448,                0.29718,                 2.7749,                 2.5595,                 2.4781,              0.0002119,              0.0002119,              0.0002119
                     97,                  1.974,                 1.2331,                 1.9067,                0.68054,                0.50361,                0.51015,                0.28972,                 2.7887,                 2.6776,                 2.4913,             0.00020992,             0.00020992,             0.00020992
                     98,                  1.979,                 1.2372,                  1.896,                0.72384,                 0.4801,                0.51743,                0.29724,                 2.7939,                 2.6378,                 2.4871,             0.00020794,             0.00020794,             0.00020794
                     99,                 1.9795,                 1.2353,                 1.9069,                0.75136,                0.46778,                0.52481,                0.30211,                 2.8041,                 2.5543,                 2.5021,             0.00020596,             0.00020596,             0.00020596
                    100,                 1.9825,                 1.2488,                 1.8977,                0.67777,                0.51586,                0.52108,                0.29506,                 2.8214,                 2.5508,                 2.5026,             0.00020398,             0.00020398,             0.00020398
                    101,                 1.9997,                 1.2353,                  1.896,                0.66259,                0.47892,                0.51986,                0.29991,                 2.7966,                 2.6247,                 2.4992,               0.000202,               0.000202,               0.000202
                    102,                 1.9503,                 1.2273,                 1.8966,                0.74484,                0.46666,                0.51899,                0.29913,                  2.741,                 2.6383,                 2.4679,             0.00020002,             0.00020002,             0.00020002
                    103,                 1.9534,                 1.2162,                 1.9063,                0.68993,                0.46912,                0.52505,                0.30171,                 2.8033,                 2.6435,                 2.5049,             0.00019804,             0.00019804,             0.00019804
                    104,                 1.9912,                 1.2434,                  1.909,                0.68978,                0.49468,                0.51928,                0.30572,                 2.7714,                 2.6269,                 2.4759,             0.00019606,             0.00019606,             0.00019606
                    105,                 1.9876,                 1.2314,                 1.8932,                0.59328,                0.47494,                 0.5193,                0.30309,                 2.7701,                 2.5996,                 2.4644,             0.00019408,             0.00019408,             0.00019408
                    106,                 1.9603,                 1.2221,                 1.8944,                 0.6414,                0.48419,                0.51739,                0.30132,                 2.7996,                 2.6416,                 2.4889,              0.0001921,              0.0001921,              0.0001921
                    107,                   1.96,                 1.2145,                 1.8904,                0.68712,                0.46072,                 0.5144,                0.29358,                 2.8054,                  2.634,                 2.5115,             0.00019012,             0.00019012,             0.00019012
                    108,                 1.9748,                 1.2178,                 1.8913,                 0.6396,                0.47847,                 0.5061,                0.29403,                 2.8003,                 2.7285,                 2.4983,             0.00018814,             0.00018814,             0.00018814
                    109,                  1.937,                 1.2028,                 1.8862,                0.59522,                0.46616,                0.51134,                0.29821,                 2.8093,                 2.6715,                 2.5181,             0.00018616,             0.00018616,             0.00018616
                    110,                 1.9118,                 1.1775,                 1.8746,                0.61537,                0.45335,                0.51035,                0.29626,                 2.8043,                 2.7484,                 2.5067,             0.00018418,             0.00018418,             0.00018418
                    111,                 1.9403,                 1.1947,                  1.872,                0.56751,                0.47061,                0.50277,                0.29502,                  2.809,                 2.7403,                 2.5195,              0.0001822,              0.0001822,              0.0001822
                    112,                 1.9247,                  1.183,                 1.8752,                0.60048,                0.48156,                0.51512,                0.29839,                 2.8136,                 2.7347,                 2.4987,             0.00018022,             0.00018022,             0.00018022
                    113,                 1.9492,                 1.1957,                 1.8801,                0.59226,                0.46971,                0.51336,                0.29918,                 2.7944,                 2.7093,                 2.4959,             0.00017824,             0.00017824,             0.00017824
                    114,                 1.9086,                 1.1826,                 1.8849,                0.67409,                0.47381,                0.52155,                0.30274,                 2.8029,                 2.6573,                   2.51,             0.00017626,             0.00017626,             0.00017626
                    115,                 1.9299,                 1.2063,                 1.8844,                0.66136,                0.48526,                0.52512,                0.29833,                 2.8115,                 2.6649,                 2.5062,             0.00017428,             0.00017428,             0.00017428
                    116,                 1.9255,                 1.1946,                 1.8784,                0.65251,                0.48087,                0.51899,                0.29448,                 2.7908,                 2.6876,                 2.4906,              0.0001723,              0.0001723,              0.0001723
                    117,                 1.8996,                 1.1848,                 1.8754,                 0.7494,                0.46981,                0.52323,                 0.3032,                 2.7725,                 2.6875,                 2.4851,             0.00017032,             0.00017032,             0.00017032
                    118,                 1.9071,                 1.1819,                 1.8742,                0.73548,                 0.4638,                0.51377,                0.30073,                 2.7997,                 2.6776,                 2.4962,             0.00016834,             0.00016834,             0.00016834
                    119,                 1.8859,                 1.1634,                 1.8736,                0.62617,                0.45949,                0.51328,                0.30184,                  2.794,                 2.6868,                 2.4998,             0.00016636,             0.00016636,             0.00016636
                    120,                 1.8807,                 1.1511,                 1.8762,                0.64122,                0.46634,                0.50878,                0.29191,                 2.8027,                 2.7273,                 2.5118,             0.00016438,             0.00016438,             0.00016438
                    121,                 1.8763,                 1.1471,                 1.8716,                0.57798,                0.47351,                 0.5151,                0.29351,                 2.8241,                 2.7445,                 2.5173,              0.0001624,              0.0001624,              0.0001624
                    122,                 1.8887,                 1.1591,                 1.8643,                0.67524,                0.46926,                0.51037,                0.29296,                 2.8084,                 2.7319,                 2.4991,             0.00016042,             0.00016042,             0.00016042
                    123,                  1.893,                  1.151,                 1.8765,                0.60545,                 0.4579,                0.51349,                0.29296,                 2.8053,                 2.7165,                 2.5213,             0.00015844,             0.00015844,             0.00015844
                    124,                  1.908,                 1.1663,                 1.8721,                0.52337,                0.50186,                0.51536,                 0.2948,                 2.8077,                 2.7319,                 2.5087,             0.00015646,             0.00015646,             0.00015646
